pick_up_zone,drop_off_zone,weight
75.0,127.0,149
75.0,128.0,27
75.0,137.0,946
75.0,140.0,2490
75.0,141.0,4190
75.0,142.0,3027
75.0,143.0,875
75.0,144.0,279
75.0,148.0,467
75.0,151.0,3182
75.0,152.0,415
75.0,158.0,319
75.0,161.0,3282
75.0,162.0,2446
75.0,163.0,1433
75.0,164.0,1293
75.0,166.0,1886
75.0,170.0,1382
75.0,186.0,1192
75.0,209.0,109
75.0,211.0,219
75.0,224.0,306
75.0,229.0,1417
75.0,230.0,1395
75.0,231.0,489
75.0,232.0,338
75.0,233.0,921
75.0,234.0,1070
75.0,236.0,9775
75.0,237.0,5643
75.0,238.0,4991
75.0,239.0,3354
75.0,243.0,343
75.0,244.0,655
75.0,246.0,709
75.0,249.0,613
75.0,261.0,110
75.0,262.0,3268
75.0,263.0,6117
79.0,4.0,7309
79.0,12.0,182
79.0,13.0,2802
79.0,24.0,669
79.0,41.0,1120
79.0,42.0,915
79.0,43.0,1920
79.0,45.0,1932
79.0,48.0,8701
79.0,50.0,2429
79.0,68.0,11073
79.0,74.0,1373
79.0,75.0,2364
79.0,79.0,23090
79.0,87.0,5904
79.0,88.0,2047
79.0,90.0,9986
79.0,100.0,5959
79.0,107.0,20809
79.0,113.0,11941
79.0,114.0,10889
79.0,116.0,592
79.0,120.0,63
79.0,125.0,3981
79.0,127.0,252
79.0,128.0,21
79.0,137.0,11415
79.0,140.0,3927
79.0,141.0,6973
79.0,142.0,4503
79.0,143.0,1576
79.0,144.0,10086
79.0,148.0,13379
79.0,151.0,1505
79.0,152.0,353
79.0,158.0,7185
79.0,161.0,9767
79.0,162.0,7812
79.0,163.0,3730
79.0,164.0,11964
79.0,166.0,1345
79.0,170.0,15208
79.0,186.0,9708
79.0,209.0,1817
79.0,211.0,7384
79.0,224.0,4027
79.0,229.0,6981
79.0,230.0,5736
79.0,231.0,10364
79.0,232.0,5840
79.0,233.0,8041
79.0,234.0,16268
79.0,236.0,4015
79.0,237.0,4668
79.0,238.0,2636
79.0,239.0,3478
79.0,243.0,496
79.0,244.0,771
79.0,246.0,5439
79.0,249.0,17131
79.0,261.0,2845
79.0,262.0,3565
79.0,263.0,4635
87.0,4.0,964
87.0,12.0,141
87.0,13.0,2596
87.0,24.0,96
87.0,41.0,121
87.0,42.0,119
87.0,43.0,611
87.0,45.0,1463
87.0,48.0,1933
87.0,50.0,651
87.0,68.0,2641
87.0,74.0,156
87.0,75.0,387
87.0,79.0,4143
87.0,87.0,1796
87.0,88.0,774
87.0,90.0,1401
87.0,100.0,1700
87.0,107.0,2662
87.0,113.0,1652
87.0,114.0,1967
87.0,116.0,86
87.0,120.0,10
87.0,125.0,1301
87.0,127.0,38
87.0,128.0,8
87.0,137.0,1637
87.0,140.0,1184
87.0,141.0,1285
87.0,142.0,915
87.0,143.0,335
87.0,144.0,3075
87.0,148.0,2653
87.0,151.0,220
87.0,152.0,30
87.0,158.0,2267
87.0,161.0,4561
87.0,162.0,3265
87.0,163.0,1337
87.0,164.0,2490
87.0,166.0,160
87.0,170.0,3287
87.0,186.0,1595
87.0,209.0,569
87.0,211.0,2320
87.0,224.0,774
87.0,229.0,1598
87.0,230.0,1926
87.0,231.0,6054
87.0,232.0,1132
87.0,233.0,2394
87.0,234.0,3046
87.0,236.0,874
87.0,237.0,1418
87.0,238.0,453
87.0,239.0,678
87.0,243.0,91
87.0,244.0,113
87.0,246.0,1873
87.0,249.0,2783
87.0,261.0,1555
87.0,262.0,716
87.0,263.0,653
88.0,4.0,490
88.0,12.0,29
88.0,13.0,1055
88.0,24.0,37
88.0,41.0,57
88.0,42.0,49
88.0,43.0,277
88.0,45.0,619
88.0,48.0,822
88.0,50.0,270
88.0,68.0,960
88.0,74.0,78
88.0,75.0,175
88.0,79.0,1371
88.0,87.0,1048
88.0,88.0,751
88.0,90.0,348
88.0,100.0,649
88.0,107.0,802
88.0,113.0,425
88.0,114.0,444
88.0,116.0,27
88.0,120.0,2
88.0,125.0,318
88.0,127.0,23
88.0,128.0,2
88.0,137.0,645
88.0,140.0,636
88.0,141.0,592
88.0,142.0,319
88.0,143.0,164
88.0,144.0,845
88.0,148.0,774
88.0,151.0,92
88.0,152.0,19
88.0,158.0,640
88.0,161.0,1532
88.0,162.0,1015
88.0,163.0,345
88.0,164.0,882
88.0,166.0,44
88.0,170.0,1374
88.0,186.0,412
88.0,209.0,519
88.0,211.0,533
88.0,224.0,327
88.0,229.0,673
88.0,230.0,717
88.0,231.0,1680
88.0,232.0,497
88.0,233.0,1011
88.0,234.0,782
88.0,236.0,332
88.0,237.0,600
88.0,238.0,227
88.0,239.0,255
88.0,243.0,60
88.0,244.0,32
88.0,246.0,797
88.0,249.0,687
88.0,261.0,844
88.0,262.0,390
88.0,263.0,300
90.0,4.0,1732
90.0,12.0,102
90.0,13.0,2973
