pick_up_zone,drop_off_zone,weight
87.0,243.0,97
87.0,244.0,90
87.0,246.0,2115
87.0,249.0,2502
87.0,261.0,1765
87.0,262.0,647
87.0,263.0,806
88.0,4.0,467
88.0,12.0,54
88.0,13.0,1109
88.0,24.0,31
88.0,41.0,59
88.0,42.0,67
88.0,43.0,328
88.0,45.0,758
88.0,48.0,936
88.0,50.0,344
88.0,68.0,1114
88.0,74.0,91
88.0,75.0,247
88.0,79.0,1512
88.0,87.0,1209
88.0,88.0,821
88.0,90.0,399
88.0,100.0,725
88.0,107.0,943
88.0,113.0,510
88.0,114.0,521
88.0,116.0,19
88.0,120.0,4
88.0,125.0,350
88.0,127.0,24
88.0,128.0,2
88.0,137.0,731
88.0,140.0,588
88.0,141.0,559
88.0,142.0,320
88.0,143.0,149
88.0,144.0,976
88.0,148.0,879
88.0,151.0,80
88.0,152.0,16
88.0,158.0,673
88.0,161.0,1610
88.0,162.0,1131
88.0,163.0,451
88.0,164.0,1004
88.0,166.0,48
88.0,170.0,1605
88.0,186.0,448
88.0,209.0,512
88.0,211.0,643
88.0,224.0,322
88.0,229.0,727
88.0,230.0,934
88.0,231.0,1952
88.0,232.0,563
88.0,233.0,1107
88.0,234.0,932
88.0,236.0,392
88.0,237.0,597
88.0,238.0,195
88.0,239.0,310
88.0,243.0,40
88.0,244.0,44
88.0,246.0,856
88.0,249.0,674
88.0,261.0,909
88.0,262.0,390
88.0,263.0,354
90.0,4.0,1713
90.0,12.0,87
90.0,13.0,2883
90.0,24.0,410
90.0,41.0,781
90.0,42.0,609
90.0,43.0,2135
90.0,45.0,468
90.0,48.0,12596
90.0,50.0,3252
90.0,68.0,15994
90.0,74.0,537
90.0,75.0,938
90.0,79.0,9321
90.0,87.0,2022
90.0,88.0,610
90.0,90.0,7983
90.0,100.0,8180
90.0,107.0,10299
90.0,113.0,6865
90.0,114.0,5005
90.0,116.0,514
90.0,120.0,23
90.0,125.0,3420
90.0,127.0,204
90.0,128.0,23
90.0,137.0,4151
90.0,140.0,1555
90.0,141.0,2630
90.0,142.0,4004
90.0,143.0,1540
90.0,144.0,3418
90.0,148.0,2736
90.0,151.0,973
90.0,152.0,248
90.0,158.0,6087
90.0,161.0,13262
90.0,162.0,4685
90.0,163.0,4432
90.0,164.0,10967
90.0,166.0,617
90.0,170.0,9778
90.0,186.0,5629
90.0,209.0,440
90.0,211.0,4409
90.0,224.0,1837
90.0,229.0,2350
90.0,230.0,6890
90.0,231.0,7302
90.0,232.0,1094
90.0,233.0,2869
90.0,234.0,12137
90.0,236.0,2510
90.0,237.0,3706
90.0,238.0,2101
90.0,239.0,2876
90.0,243.0,379
90.0,244.0,758
90.0,246.0,11919
90.0,249.0,12820
90.0,261.0,1449
90.0,262.0,1110
90.0,263.0,1560
100.0,4.0,955
100.0,12.0,145
100.0,13.0,2235
100.0,24.0,398
100.0,41.0,769
100.0,42.0,733
100.0,43.0,4630
100.0,45.0,547
100.0,48.0,10786
100.0,50.0,4808
100.0,68.0,7448
100.0,74.0,784
100.0,75.0,1606
100.0,79.0,4666
100.0,87.0,1897
100.0,88.0,837
100.0,90.0,6292
100.0,100.0,7668
100.0,107.0,6508
100.0,113.0,3373
100.0,114.0,2736
100.0,116.0,456
100.0,120.0,43
100.0,125.0,1769
100.0,127.0,228
100.0,128.0,35
100.0,137.0,4226
